MSSubClass,MSZoning,LotFrontage,LotArea,LotShape
20,RL,81,14267,IR1
60,RL,74,13830,IR1
60,RL,78,9978,IR1
120,RL,43,5005,IR1
60,RL,75,10000,IR1
20,RL,NA,7980,IR1
60,RL,63,8402,IR1
20,RL,85,10176,Reg
20,RL,70,8400,Reg
160,RM,21,1680,Reg
160,RM,21,1680,Reg
160,RL,24,2280,Reg
120,RL,24,2280,Reg
60,RL,102,12858,IR1
20,RL,94,12883,IR1
20,RL,90,11520,Reg
20,RL,79,14122,IR1
20,RL,110,14300,Reg
60,RL,105,13650,Reg
120,RL,41,7132,IR1
20,RL,100,18494,IR1
120,RL,43,3203,Reg
80,RL,67,13300,IR1
60,RL,63,8577,IR1
60,RL,60,17433,IR2
20,RL,73,8987,Reg
20,FV,92,9215,Reg
20,FV,84,10440,Reg
60,RL,70,11920,Reg
20,RL,39,15410,IR1
60,RL,85,13143,IR1
60,RL,88,11134,Reg
120,FV,25,4835,IR1
160,FV,39,3515,Reg
160,FV,30,3215,Reg
160,FV,24,2544,Reg
160,FV,24,2544,Reg
160,FV,NA,2980,Reg
160,FV,NA,2403,IR1
20,FV,57,12853,IR1
60,FV,68,7379,IR1
20,FV,80,8000,Reg
20,RL,NA,10456,IR1
60,RL,80,10791,Reg
50,RL,NA,18837,IR1
60,RL,80,9600,Reg
20,RL,80,9600,Reg
20,RL,90,9900,Reg
20,RL,88,9680,Reg
80,RL,NA,10600,IR1
90,RL,98,13260,IR1
50,RL,68,9724,Reg
50,RL,120,17360,Reg
85,RL,75,11380,IR1
90,RL,70,8267,Reg
20,RL,70,8197,Reg
20,RL,NA,8050,IR1
20,RL,87,10725,IR1
20,RL,80,10032,Reg
50,RL,60,8382,Reg
20,RL,60,10950,Reg
20,RL,119,10895,Reg
190,RL,70,13587,Reg
30,RL,65,7898,Reg
50,RL,60,8064,Reg
20,RL,81,7635,IR1
20,RL,80,9760,Reg
50,RM,60,4800,Reg
30,RM,56,4485,Reg
20,RM,69,5805,Reg
45,RM,50,6900,Reg
50,RM,69,11851,Reg
50,RM,NA,8239,Reg
30,RM,68,9656,Reg
70,RM,60,9600,Reg
70,RM,50,9000,Reg
190,RM,100,9045,Reg
70,RM,60,10560,Reg
50,RM,53,5830,Reg
75,RL,NA,7793,IR1
30,RM,50,5000,Reg
50,RM,50,6000,Reg
50,RM,50,6000,Reg
50,RM,53,6360,Reg
50,RM,50,6000,Reg
50,RM,52,6240,Reg
50,RM,52,6240,Reg
30,RM,51,6120,Reg
50,RM,57,8094,Reg
70,RM,60,12900,Reg
70,RM,52,3068,Reg
20,RL,100,15263,IR1
50,RL,72,10632,IR1
190,RL,60,9900,Reg
50,RL,65,6001,IR1
70,C (all),NA,6449,IR1
